"TotalSteps","TotalDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","ModeratelyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","TotalActiviteMinutes"
1,0.985368843360111,0.740114577488629,0.507105448874268,0.692208204347045,0.0705047422690518,0.667078697480277,0.498693370918633,0.569600207011067,-0.327483546105065,-0.0172846693057857
0.985368843360111,1,0.794581624729596,0.470758272537074,0.662001537696515,0.0823890460999201,0.681297434339086,0.462898889901523,0.516300493355102,-0.288094364398335,0.00452269315976799
0.740114577488629,0.794581624729596,1,0.192985874037289,0.157669261845366,0.0461167483871826,0.826681460836105,0.211730111789593,0.0598453800998188,-0.0617541871566367,0.0726246472452424
0.507105448874268,0.470758272537074,0.192985874037289,1,0.237847446990275,0.00579340341320444,0.225464008697997,0.946934035320003,0.162091885097474,-0.221436057464574,-0.0852965659769559
0.692208204347045,0.662001537696515,0.157669261845366,0.237847446990275,1,0.0995032038616946,0.154966478632407,0.220129069034658,0.885697066517676,-0.413551714558522,-0.0692068564258628
0.0705047422690518,0.0823890460999201,0.0461167483871826,0.00579340341320444,0.0995032038616946,1,0.00825814892055802,-0.022360868799106,0.124184728779481,0.0354746062157191,0.0905099679816835
0.667078697480277,0.681297434339086,0.826681460836105,0.225464008697997,0.154966478632407,0.00825814892055802,1,0.312420353477923,0.0519259087863087,-0.164670992438893,-0.0182442943661015
0.498693370918633,0.462898889901523,0.211730111789593,0.946934035320003,0.220129069034658,-0.022360868799106,0.312420353477923,1,0.148819910205137,-0.23744642020751,-0.0941546650096941
0.569600207011067,0.516300493355102,0.0598453800998188,0.162091885097474,0.885697066517676,0.124184728779481,0.0519259087863087,0.148819910205137,1,-0.437103896552533,-0.0670489692233025
-0.327483546105065,-0.288094364398335,-0.0617541871566367,-0.221436057464574,-0.413551714558522,0.0354746062157191,-0.164670992438893,-0.23744642020751,-0.437103896552533,1,0.915243142952809
-0.0172846693057857,0.00452269315976799,0.0726246472452424,-0.0852965659769559,-0.0692068564258628,0.0905099679816835,-0.0182442943661015,-0.0941546650096941,-0.0670489692233025,0.915243142952809,1
